@RELATION weatherData

@ATTRIBUTE 'season' {autumn, winter, spring, summer}
@ATTRIBUTE 'time' {'00:00', '03:00', '06:00', '09:00', '12:00', '15:00', '18:00', '21:00'}
@ATTRIBUTE 'temperature' NUMERIC
@ATTRIBUTE 'pressure' NUMERIC
@ATTRIBUTE 'humidity' NUMERIC
@ATTRIBUTE 'precipitation' NUMERIC
@ATTRIBUTE 'health_influence' {positive, negative, dangerous}

@DATA
autumn,'03:00',-0.3,735.8,92,?,negative
autumn,'00:00',-0.5,738.9,90,?,negative
autumn,'21:00',0.5,742.2,86,0,negative
autumn,'18:00',2.2,745.0,68,0,positive
autumn,'15:00',4.2,747.4,64,?,positive
autumn,'12:00',4.1,749.6,65,?,positive
autumn,'09:00',0.7,751.0,90,0,negative
autumn,'06:00',1.0,752.1,86,3,negative
autumn,'03:00',1.6,752.8,80,?,positive
autumn,'00:00',3.7,752.7,87,?,negative
autumn,'21:00',6.1,751.8,88,3,negative
autumn,'18:00',6.2,752.5,89,?,negative
autumn,'15:00',7.1,755.0,78,?,positive
autumn,'12:00',5.6,757.4,91,?,negative
autumn,'09:00',4.3,759.8,92,1,negative
autumn,'06:00',3.6,761.9,90,0.8,negative
autumn,'03:00',3.6,764.1,85,?,negative
autumn,'00:00',3.4,765.7,73,?,positive
autumn,'21:00',4.0,766.6,88,0.1,negative
autumn,'18:00',3.6,767.2,83,?,negative
autumn,'15:00',4.3,768.2,76,?,positive
autumn,'12:00',4.0,769.0,77,?,positive
autumn,'09:00',3.0,769.6,84,0,negative
autumn,'06:00',1.6,770.5,90,0,negative
autumn,'03:00',1.2,771.6,92,?,negative
autumn,'00:00',1.2,772.0,90,?,negative
autumn,'21:00',3.1,772.5,81,0,negative
autumn,'18:00',4.5,772.2,68,0,positive
autumn,'15:00',5.5,771.9,66,?,positive
autumn,'12:00',5.3,771.5,65,?,positive
autumn,'09:00',2.7,770.2,77,2,positive
autumn,'06:00',3.2,768.4,86,2,negative
autumn,'03:00',4.5,766.7,89,?,negative
autumn,'00:00',5.5,765.8,89,?,negative
autumn,'21:00',5.9,764.6,86,1,negative
autumn,'18:00',6.1,763.9,88,5,negative
autumn,'15:00',6.8,762.6,88,?,negative
autumn,'12:00',7.0,761.6,95,?,negative
autumn,'09:00',6.6,760.6,98,18,negative
autumn,'06:00',6.8,761.1,95,14,negative
autumn,'03:00',6.5,763.4,93,?,negative
autumn,'00:00',7.0,765.8,90,?,negative
autumn,'21:00',7.3,767.0,83,0,negative
autumn,'18:00',9.4,766.9,79,0.1,positive
autumn,'15:00',10.5,766.2,78,?,positive
autumn,'12:00',10.5,765.2,86,?,negative
autumn,'09:00',10.9,763.2,91,8,negative
autumn,'06:00',11.1,761.9,94,10,negative
autumn,'03:00',10.8,761.3,95,?,negative
autumn,'00:00',11.2,761.2,95,?,negative
autumn,'21:00',11.4,760.7,85,2,negative
autumn,'18:00',13.7,760.5,81,0.1,negative
autumn,'15:00',14.6,759.9,73,?,positive
autumn,'12:00',13.4,759.7,71,?,positive
autumn,'09:00',10.5,760.1,81,0,negative
autumn,'06:00',9.1,761.2,85,0,negative
autumn,'03:00',9.8,762.6,84,?,negative
autumn,'00:00',10.1,763.2,83,?,negative
autumn,'21:00',9.8,763.7,82,0,negative
autumn,'18:00',10.4,763.5,79,0,positive
autumn,'15:00',11.4,763.6,74,?,positive
autumn,'12:00',10.5,763.3,77,?,positive
autumn,'09:00',8.5,761.9,88,0,negative
autumn,'06:00',8.3,760.9,90,0.6,negative
autumn,'03:00',8.5,759.4,89,?,negative
autumn,'00:00',8.9,757.7,88,?,negative
autumn,'21:00',9.7,756.2,88,1,negative
autumn,'18:00',11.6,754.0,91,2,negative
autumn,'15:00',11.2,755.1,92,?,negative
autumn,'12:00',11.1,757.4,92,?,negative
autumn,'09:00',10.1,759.2,95,2,negative
autumn,'06:00',8.9,761.0,96,0.3,negative
autumn,'03:00',9.1,761.5,93,?,negative
autumn,'00:00',9.8,761.5,92,?,negative
autumn,'21:00',10.4,760.8,90,0,negative
autumn,'18:00',11.4,759.8,73,0,positive
autumn,'15:00',11.8,758.6,85,?,negative
autumn,'12:00',10.6,757.6,89,?,negative
autumn,'09:00',10.0,757.0,88,0.1,negative
autumn,'06:00',9.5,757.4,91,0.1,negative
autumn,'03:00',9.4,758.8,92,?,negative
autumn,'00:00',9.2,759.8,92,?,negative
autumn,'21:00',8.9,760.0,93,4,negative
autumn,'18:00',8.4,760.1,95,4,negative
autumn,'15:00',7.8,760.4,94,?,negative
autumn,'12:00',6.2,760.5,94,?,negative
autumn,'09:00',5.2,760.6,97,0,negative
autumn,'06:00',5.0,761.0,94,0,negative
autumn,'03:00',4.4,761.4,93,?,negative
autumn,'00:00',4.4,761.6,93,?,negative
autumn,'21:00',4.3,761.6,93,0,negative
autumn,'18:00',5.7,761.5,86,0,negative
autumn,'15:00',5.2,761.5,88,?,negative
autumn,'12:00',7.4,761.3,74,?,positive
autumn,'09:00',2.2,761.1,94,0,negative
autumn,'06:00',2.2,760.7,92,0,negative
autumn,'03:00',4.3,760.7,90,?,negative
autumn,'00:00',4.8,761.0,83,?,negative
autumn,'21:00',5.2,760.9,91,0.1,negative
autumn,'18:00',6.1,761.0,79,0.1,positive
autumn,'15:00',7.3,761.0,73,?,positive
autumn,'12:00',6.8,761.3,71,?,positive
autumn,'09:00',4.2,761.4,92,0,negative
autumn,'06:00',5.7,761.2,83,0.1,negative
autumn,'03:00',6.0,761.3,83,?,negative
autumn,'00:00',6.3,761.4,85,?,negative
autumn,'21:00',6.8,761.0,85,0.3,negative
autumn,'18:00',7.4,760.6,77,0.3,positive
autumn,'15:00',8.2,760.0,74,?,positive
autumn,'12:00',7.6,759.6,76,?,positive
autumn,'09:00',5.6,758.6,91,0.3,negative
autumn,'06:00',5.4,757.8,97,0.1,negative
autumn,'03:00',5.9,757.3,96,?,negative
autumn,'00:00',7.0,756.8,85,?,negative
autumn,'21:00',6.4,755.9,88,0.1,negative
autumn,'18:00',7.6,755.1,83,0.8,negative
autumn,'15:00',8.6,754.2,77,?,positive
autumn,'12:00',7.6,753.0,81,?,negative
autumn,'09:00',5.9,751.6,92,2,negative
autumn,'06:00',5.4,750.1,94,2,negative
autumn,'03:00',5.2,749.1,94,?,negative
autumn,'00:00',6.0,748.4,94,?,negative
autumn,'21:00',6.2,747.7,91,6,negative
autumn,'18:00',6.7,747.4,93,7,negative
autumn,'15:00',7.5,746.9,91,?,negative
autumn,'12:00',7.2,746.9,93,?,negative
autumn,'09:00',7.1,747.1,93,4,negative
autumn,'06:00',7.2,747.3,93,2,negative
autumn,'03:00',7.7,747.6,93,?,negative
autumn,'00:00',8.0,748.2,83,?,negative
autumn,'21:00',8.9,748.7,81,0.6,negative
autumn,'18:00',9.2,749.0,80,0.6,positive
autumn,'15:00',9.2,748.8,80,?,positive
autumn,'12:00',8.8,748.4,81,?,negative
autumn,'09:00',7.9,748.0,85,0.1,negative
autumn,'06:00',7.6,747.9,94,0.1,negative
autumn,'03:00',7.8,748.5,91,?,negative
autumn,'00:00',8.0,749.1,89,?,negative
autumn,'21:00',8.2,750.0,87,0,negative
autumn,'18:00',8.3,750.6,87,0,negative
autumn,'15:00',8.2,751.0,89,?,negative
autumn,'12:00',8.7,751.1,75,?,positive
autumn,'09:00',8.0,751.2,83,0.3,negative
autumn,'06:00',7.8,751.2,88,0.4,negative
autumn,'03:00',8.1,751.2,76,?,positive
autumn,'00:00',8.2,750.8,83,?,negative
autumn,'21:00',10.0,750.4,77,0.4,positive
autumn,'18:00',11.6,749.3,64,0,positive
autumn,'15:00',12.6,748.6,62,?,positive
autumn,'12:00',11.2,747.8,73,?,positive
autumn,'09:00',7.5,747.3,90,0,negative
autumn,'06:00',7.0,747.1,90,0,negative
autumn,'03:00',7.2,747.6,88,?,negative
autumn,'00:00',8.2,748.1,83,?,negative
autumn,'21:00',9.3,748.4,80,0,positive
autumn,'18:00',11.0,748.4,70,0,positive
autumn,'15:00',10.9,748.0,74,?,positive
autumn,'12:00',8.4,747.2,84,?,negative
autumn,'09:00',8.2,746.6,85,0,negative
autumn,'06:00',8.5,747.2,86,1,negative
autumn,'03:00',9.0,748.1,85,?,negative
autumn,'00:00',9.5,748.6,86,?,negative
autumn,'21:00',10.7,747.8,85,1,negative
autumn,'18:00',13.1,747.0,83,0.3,negative
autumn,'15:00',14.5,748.7,75,?,positive
autumn,'12:00',13.8,750.7,83,?,negative
autumn,'09:00',11.7,752.8,93,0.1,negative
autumn,'06:00',10.7,754.6,94,0.1,negative
autumn,'03:00',10.1,755.8,93,?,negative
autumn,'00:00',10.6,756.5,90,?,negative
autumn,'21:00',10.0,756.2,95,0,negative
autumn,'18:00',12.0,756.5,85,0.1,negative
autumn,'15:00',12.0,756.4,86,?,negative
autumn,'12:00',11.4,757.3,90,?,negative
autumn,'09:00',10.9,758.0,91,0,negative
autumn,'06:00',10.2,759.4,92,0,negative
autumn,'03:00',10.4,760.8,90,?,negative
autumn,'00:00',10.8,761.7,87,?,negative
autumn,'21:00',10.2,761.9,95,0,negative
autumn,'18:00',12.6,762.0,84,0,negative
autumn,'15:00',15.0,762.2,68,?,positive
autumn,'12:00',14.1,762.1,78,?,positive
autumn,'09:00',11.8,761.6,90,0,negative
autumn,'06:00',11.0,761.2,91,0,negative
autumn,'03:00',12.6,761.2,81,?,negative
autumn,'00:00',13.6,761.3,71,?,positive
autumn,'21:00',14.7,761.9,65,0,positive
autumn,'18:00',15.5,762.2,61,0,positive
autumn,'15:00',16.3,762.4,60,?,positive
autumn,'12:00',15.4,763.2,67,?,positive
autumn,'09:00',11.9,763.1,80,0.5,positive
autumn,'06:00',11.8,763.4,90,0.5,negative
autumn,'03:00',12.3,763.4,87,?,negative
autumn,'00:00',12.3,763.4,89,?,negative
autumn,'21:00',11.8,763.6,89,0.1,negative
autumn,'18:00',12.9,763.4,77,0,positive
autumn,'15:00',13.2,763.0,73,?,positive
autumn,'12:00',12.5,761.9,79,?,positive
autumn,'09:00',9.6,760.5,87,0.4,negative
autumn,'06:00',8.9,758.8,93,3,negative
autumn,'03:00',10.6,756.7,91,?,negative
autumn,'00:00',10.9,754.1,91,?,negative
autumn,'21:00',10.5,752.4,95,14,negative
autumn,'18:00',10.8,751.6,95,13,negative
autumn,'15:00',10.6,752.3,94,?,negative
autumn,'12:00',10.6,753.5,91,?,negative
autumn,'09:00',9.4,755.1,92,0.5,negative
autumn,'06:00',9.6,756.6,89,0,negative
autumn,'03:00',10.4,758.0,84,?,negative
autumn,'00:00',10.4,759.4,82,?,negative
autumn,'21:00',10.0,760.1,87,0.4,negative
autumn,'18:00',12.6,760.1,77,0.7,positive
autumn,'15:00',12.4,759.7,84,?,negative
autumn,'12:00',12.2,758.0,91,?,negative
autumn,'09:00',11.8,756.4,88,5,negative
autumn,'06:00',11.6,754.9,89,5,negative
autumn,'03:00',12.0,753.5,92,?,negative
autumn,'00:00',12.7,752.5,85,?,negative
autumn,'21:00',13.6,752.4,77,0,positive
autumn,'18:00',14.4,752.3,73,0.1,positive
autumn,'15:00',15.9,752.8,67,?,positive
autumn,'12:00',13.6,752.4,77,?,positive
autumn,'09:00',12.9,750.8,87,3,negative
autumn,'06:00',14.8,748.4,91,3,negative
autumn,'03:00',16.5,748.0,92,?,negative
autumn,'00:00',16.3,749.6,87,?,negative
autumn,'21:00',15.9,752.0,85,0,negative
autumn,'18:00',16.6,752.8,76,0,positive
autumn,'15:00',15.2,754.4,73,?,positive
autumn,'12:00',12.2,756.6,78,?,positive
autumn,'09:00',10.5,758.1,83,0,negative
autumn,'06:00',10.1,759.5,84,0,negative
autumn,'03:00',9.7,760.7,83,?,negative
autumn,'00:00',9.5,761.7,84,?,negative
autumn,'21:00',8.9,761.9,80,0,positive
autumn,'18:00',10.8,761.6,69,0.1,positive
autumn,'15:00',11.7,761.8,64,?,positive
autumn,'12:00',10.0,761.2,79,?,positive
autumn,'09:00',8.8,760.4,93,0.7,negative
autumn,'06:00',8.2,759.4,97,0.7,negative
autumn,'03:00',8.4,758.8,95,?,negative
autumn,'00:00',8.4,758.1,90,?,negative
autumn,'21:00',8.6,757.4,89,0.5,negative
autumn,'18:00',9.1,756.6,89,0.5,negative
autumn,'15:00',9.6,755.8,87,?,negative
autumn,'12:00',8.6,754.6,95,?,negative
autumn,'09:00',8.5,753.3,90,0.1,negative
autumn,'06:00',8.5,752.2,89,0.1,negative
autumn,'03:00',9.2,751.4,84,?,negative
autumn,'00:00',10.1,750.4,92,?,negative
autumn,'21:00',10.7,750.1,89,0,negative
autumn,'18:00',11.1,749.6,79,0,positive
autumn,'15:00',11.7,749.2,75,?,positive
autumn,'12:00',10.5,748.4,83,?,negative
autumn,'09:00',9.4,747.4,89,2,negative
autumn,'06:00',9.3,746.8,88,5,negative
autumn,'03:00',9.6,746.7,91,?,negative
autumn,'00:00',10.5,746.9,94,?,negative
autumn,'21:00',11.4,747.4,94,10,negative
autumn,'18:00',11.3,748.5,92,9,negative
autumn,'15:00',11.4,749.7,95,?,negative
autumn,'12:00',11.0,751.0,95,?,negative
autumn,'09:00',10.3,752.6,95,14,negative
autumn,'06:00',10.1,754.7,95,12,negative
autumn,'03:00',9.6,756.8,95,?,negative
autumn,'00:00',9.1,759.4,93,?,negative
autumn,'21:00',12.7,761.3,74,0,positive
autumn,'18:00',14.1,763.0,61,0,positive
autumn,'15:00',15.0,764.3,60,?,positive
autumn,'12:00',13.3,765.6,71,?,positive
autumn,'09:00',9.2,766.0,87,0,negative
autumn,'06:00',8.8,765.6,92,0,negative
autumn,'03:00',8.8,766.0,92,?,negative
autumn,'00:00',9.7,765.7,89,?,negative
autumn,'21:00',11.2,765.0,85,0,negative
autumn,'18:00',12.2,764.2,81,3,negative
autumn,'15:00',?,763.9,?,?,?
autumn,'12:00',14.4,763.4,68,?,positive
autumn,'09:00',11.2,763.3,79,0,positive
autumn,'06:00',9.4,762.6,87,0,negative
autumn,'03:00',11.0,762.3,79,?,positive
autumn,'00:00',12.0,761.8,76,?,positive
autumn,'21:00',13.1,761.1,66,0,positive
autumn,'18:00',14.2,760.4,62,0,positive
autumn,'15:00',15.1,759.8,62,?,positive
